TF	Gene
FOXC1	CHRDL2
GATA1	MEFV
NR2F2	NOL7
PPARA	NOL7
MEF2A	NOL7
RXRA	NOL7
NR2F1	NOL7
PPARG	NOL7
IL10	FLJ45079
HIF1A	JMJD8
ELSPBP1	JMJD8
TFF3	JMJD8
EGR2	JMJD8
EGR1	JMJD8
ASCL1	JMJD8
SP1	JMJD8
USF2	JMJD8
SP2	JMJD8
LMO2	JMJD8
SREBF2	JMJD8
SREBF1	JMJD8
TCF4	JMJD8
SP4	JMJD8
UBP1	JMJD8
SP3	JMJD8
ESR2	JMJD8
GABPA	JMJD8
EGR3	JMJD8
PAX2	JMJD8
TEAD2	JMJD8
MYOD1	JMJD8
ELK1	JMJD8
RFX1	JMJD8
AHR	JMJD8
MAZ	JMJD8
ARNT	JMJD8
MYOG	JMJD8
ZIC2	JMJD8
ARID5B	JMJD8
RFXANK	JMJD8
ESR1	JMJD8
MYF5	JMJD8
RFXAP	JMJD8
TCF3	JMJD8
RFX2	JMJD8
SETD2	JMJD8
PAX8	JMJD8
RFX3	JMJD8
TFAP4	JMJD8
TCF12	JMJD8
HIC1	JMJD8
MYF6	JMJD8
ARNT2	JMJD8
RFX5	JMJD8
RFX4	JMJD8
CREM	PITPNA
CREB1	PITPNA
PLAU	PITPNA
TCF4	EIF3D
TCF3	EIF3D
RUNX3	C1ORF190
RUNX1	C1ORF190
RUNX2	C1ORF190
RELA	C1ORF190
FOXN1	ICAM3
GATA1	DNAJB2
LMO2	DNAJB2
NR2F2	C3ORF54
HNF4A	C3ORF54
PPARA	C3ORF54
RXRA	C3ORF54
PAX6	C3ORF54
NR2F1	C3ORF54
PPARG	C3ORF54
STAT1	STAT5A
USF1	STAT5A
IRF4	STAT5A
IRF5	STAT5A
IRF7	STAT5A
MYC	STAT5A
IRF3	STAT5A
IRF2	STAT5A
MAX	STAT5A
IRF8	STAT5A
ARNT	STAT5A
NR3C1	STAT5A
IRF9	STAT5A
IRF1	STAT5A
FOXI1	METTL4
