Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CYP46A1	224.98287481124794	-0.7867761766728625	0.2868948435168265	-2.7423852134404703	0.0060994764078851705	0.6720217360835788
SLC46A1	50.68754450260351	-0.9079889423841133	0.4044705481168979	-2.2448827154695357	0.02477566283238787	0.9999706469618949
IGSF9	95.33379296934201	-0.6291811715241639	0.2616683798155073	-2.4044982888944255	0.01619468203281977	0.9999706469618949
ORC1	123.09842015317524	-0.6312685482870739	0.21670226101056944	-2.913068582409873	0.0035789598886068015	0.5398906199477529
PALMD	737.5568939972779	-0.7021596347823253	0.3535957555420539	-1.985769409776798	0.04705893388472879	0.9999706469618949
RUBCNL	275.6376431135124	-0.6650384797650661	0.267728547050809	-2.4840028719046403	0.012991476027463629	0.9360106904403308
FGF9	64.35312258913743	-0.8463442671129974	0.4080824723943224	-2.0739539783399246	0.038083585203446305	0.9999706469618949
MCM4	825.08670535407	-0.8155574375935137	0.36813968655659757	-2.215347780680338	0.026736202621977834	0.9999706469618949
DKK1	333.4870914235179	-0.6882468948412767	0.33471841529556606	-2.056196681719871	0.03976356200761275	0.9999706469618949
COL1A1	25049.534818386353	-0.7893039143263355	0.382802962137827	-2.0619064960164786	0.039216638963678156	0.9999706469618949
PKMYT1	137.0249539657969	-1.0290415469698695	0.4359406760894109	-2.3605082145599425	0.018249914130720794	0.9999706469618949
CPA4	55.92736560437889	-1.6619416151949455	0.8223181977899032	-2.0210444322667906	0.043275165769810595	0.9999706469618949
PSAT1	769.1246739799819	-0.6684004084017099	0.3267933455747534	-2.0453305351923525	0.04082228225198193	0.9999706469618949
AOX1	856.6108388942627	-0.7688035957846455	0.39224251803236193	-1.960021059525259	0.04999332887015444	0.9999706469618949
OSR1	858.2809940431555	-1.4355717137001787	0.7218879417935631	-1.9886351199237877	0.046741492018220525	0.9999706469618949
AC005041.1	359.48003243393725	-0.6999682698739823	0.2413151461433693	-2.900639603691182	0.003724019135409219	0.5398906199477529
FGFR4	313.93944585927915	-1.0241964704777782	0.5172977893067486	-1.9798972499966503	0.047715075493565004	0.9999706469618949
RBP7	183.91914871295438	-0.9322942763947841	0.383412020094967	-2.4315728968639663	0.015033422842401355	0.9769170625233289
C1orf115	373.0904824272037	-0.6264022077978288	0.30469633350002456	-2.055824566716614	0.03979942915555962	0.9999706469618949
HEYL	679.955441325276	-0.6716992957833252	0.3381161999248903	-1.9865930586364617	0.04696751106821458	0.9999706469618949
FAM198B	692.1078303528317	-0.920224506858361	0.4495996250003182	-2.046764400343327	0.04068122261195073	0.9999706469618949
MYORG	173.39909368184155	-0.7487758115373577	0.37515849607571555	-1.9958919213340638	0.045945688254050585	0.9999706469618949
PTCHD1	162.17762023199666	-0.7554679251549629	0.3066169127978578	-2.4638821070285104	0.013744131012899476	0.9533628712497341
ADAMTS15	123.03975103479297	-1.3908780675441215	0.4668214109421278	-2.9794650265442724	0.002887521904044979	0.4772075551666434
ZNF30	221.42849700297543	-0.6626347916265155	0.3157058773988387	-2.0988991306911697	0.03582579351319795	0.9999706469618949
SLC30A1	591.2109619737682	-0.7682638201825405	0.311691634952249	-2.464820142831995	0.01370820420632182	0.9533628712497341
GATM	395.2098389386772	-1.0164576386944502	0.43213727563483245	-2.3521637590768356	0.018664555840158754	0.9999706469618949
