Gene	A19_uninfected	A20_uninfected	A21_uninfected	A22_uninfected	A23_uninfected	A19_influenza	A20_influenza	A21_influenza	A22_influenza	A23_influenza
TSPAN6	926	970	847	525	1132	1273	971	809	586	645
TNMD	5	4	8	7	4	28	5	6	3	12
DPM1	560	638	602	614	740	945	937	719	696	644
SCYL3	715	606	578	372	675	736	731	786	654	947
C1orf112	494	576	463	293	575	499	557	558	456	593
FGR	737	672	412	717	799	1003	995	646	1007	679
CFH	3522	3309	2068	2600	6904	6440	6149	3396	4394	15220
FUCA2	851	753	583	407	888	728	628	696	550	538
GCLC	1427	1533	941	640	898	2647	1499	796	599	702
NFYA	379	367	259	643	388	373	339	315	574	320
STPG1	383	354	236	258	287	347	334	330	279	299
NIPAL3	3407	2880	2982	1571	3074	3908	2762	3904	2345	2575
LAS1L	1989	2228	1538	1896	2580	2123	1698	1989	1921	1732
ENPP4	2376	1599	1616	2046	1493	2716	1536	2425	2863	1517
SEMA3F	142	376	126	169	158	170	343	289	174	117
CFTR	820	555	835	344	373	776	333	1079	392	277
ANKIB1	4819	5292	4286	3954	4939	6252	7030	6169	4950	5351
CYP51A1	1	0	1	0	0	1	0	0	0	0
KRIT1	2396	2204	1946	1990	2520	2655	2414	2459	2386	1796
RAD52	1176	926	768	563	1019	1066	1258	1090	776	677
MYH16	85	90	46	345	170	81	60	67	384	185
BAD	557	602	531	396	706	717	585	585	409	452
LAP3	1533	1830	960	1111	1756	3018	5395	2676	3476	15047
CD99	10608	10436	6215	7951	15766	13691	10438	8145	8920	9685
HS3ST1	922	832	835	132	891	1202	508	840	197	861
AOC1	18	20	33	10	96	31	16	34	18	26
WNT16	12	39	20	50	22	79	28	21	32	24
HECW1	57	98	66	47	186	149	101	79	60	259
MAD1L1	1787	2062	1441	1583	2008	2086	1723	1874	1610	1455
LASP1	923	740	588	999	1007	946	713	702	1127	721
SNX11	939	1287	828	1726	1334	1264	940	1166	1913	1111
TMEM176A	763	618	829	125	1196	947	765	1110	158	525
M6PR	4432	4430	3504	4208	4775	4995	4085	4768	5076	3820
KLHL13	339	319	145	88	456	411	452	189	124	166
CYP26B1	78	130	47	295	206	111	64	64	251	177
ICA1	3636	2548	2716	2142	3019	3433	2858	3343	2486	2240
DBNDD1	144	277	271	112	209	202	167	304	106	218
ALS2	1794	1048	1027	1512	1410	1853	1420	1582	1669	1092
CASP10	1253	1275	673	1206	1763	1351	1670	1452	1750	3533
CFLAR	4281	4387	3486	12224	7721	5209	6081	5668	13962	12673
TFPI	31	23	7	14	31	67	29	29	24	29
NDUFAF7	851	793	641	671	990	929	996	863	916	708
RBM5	3126	2694	2106	3910	3722	3590	3438	2937	4008	2912
MTMR7	250	317	220	354	369	276	251	290	429	354
SLC7A2	1571	958	2167	3912	1066	1550	1549	3217	4790	2641
ARF5	0	0	0	0	0	0	0	0	0	0
SARM1	275	268	309	116	305	239	195	265	170	216
POLDIP2	3419	4463	3227	3548	4625	3507	2912	4199	3881	3480
PLXND1	3260	4203	1731	6771	4949	3740	3941	3056	5424	2268
AK2	436	461	369	607	452	680	597	479	580	542
CD38	265	457	343	252	456	974	2040	1408	801	5500
FKBP4	178	163	140	138	160	168	132	194	105	128
KDM1A	6	3	5	4	14	6	3	4	5	10
RBM6	12572	13619	9859	12954	14661	14591	18427	13771	12774	12060
CAMKK1	540	454	272	208	691	444	848	316	175	234
RECQL	2616	2063	1459	2893	2242	2497	2279	2069	2967	2260
VPS50	855	1350	872	441	1186	941	1110	1151	595	748
HSPB6	1557	1864	502	186	2788	1134	1468	547	278	602
ARHGAP33	12	45	31	13	36	25	63	14	46	13
NDUFAB1	2732	4372	3197	2167	3230	3570	3319	3649	2619	2504
PDK4	2070	2462	1683	1755	4546	2632	3945	2330	1929	2687
SLC22A16	27	42	31	25	34	51	55	41	31	34
ZMYND10	6	5	2	11	7	4	8	2	1	7
ABCB5	60	50	23	56	36	120	65	35	66	34
ARX	38	73	21	2	18	53	49	15	0	21
SLC25A13	2649	2303	1790	3629	3097	2467	2228	2827	3829	2302
ST7,ST7	1046	808	789	1636	1212	998	788	1071	1579	964
CDC27	5485	4885	3938	7745	5428	6513	7227	5449	7479	4974
SLC4A1	3	6	4	9	6	8	6	9	2	4
CALCR	161	191	137	36	68	147	112	126	52	69
HCCS	1290	1133	949	2010	1526	1609	1091	1187	2396	1468
DVL2	1942	1342	1248	1314	2152	1807	1463	1675	1212	1210
PRSS22	279	273	393	1261	790	727	378	798	1281	876
UPF1	330	518	294	406	397	514	523	394	370	329
SKAP2	5340	6253	3571	3288	5461	5004	7522	4631	3458	3446
SLC25A5	10405	10946	9283	9269	9717	11731	8536	11686	10194	8232
MCUB	1829	2547	1630	1163	2862	2649	2903	2775	1816	5199
HOXA11	1	0	0	0	0	0	0	0	0	0
POLR2J	2053	2638	2066	1632	2527	2295	1975	2386	1995	1742
DHX33	219	184	214	255	303	234	215	226	223	147
MEOX1	42	23	11	68	95	43	35	22	59	64
THSD7A	814	1140	1131	164	987	837	852	1099	147	353
LIG3	874	672	497	747	767	783	505	757	910	727
RPAP3	1001	1102	812	885	1144	995	771	902	948	788
ACSM3	157	95	150	85	160	222	132	178	105	128
REXO5	0	0	0	0	0	0	0	0	0	0
CIAPIN1	1870	2254	1456	1812	2393	1896	1586	2114	2002	1771
SPPL2B	708	735	602	468	1039	825	801	751	584	805
FAM214B	1224	972	774	1372	1312	1323	1206	950	1446	993
COPZ2	24	76	25	19	98	62	108	38	20	42
PRKAR2B	68	126	109	128	139	142	200	123	135	164
MSL3	1529	1703	1093	1632	1674	1477	1648	1527	1774	1603
CREBBP	3676	3940	2606	4980	5093	4136	4147	3777	5252	3672
TSPOAP1	130	157	103	102	263	170	146	111	108	95
MPO	27	25	6	17	47	31	10	19	7	19
PON1	67	60	37	102	103	54	45	81	78	52
GCFC2	639	970	623	827	795	676	835	913	910	560
WDR54	1930	2148	1077	1637	2250	1907	2115	1519	1524	1488
CROT	352	509	298	106	735	365	345	394	191	234
ABCB4	119	99	81	88	142	161	194	96	75	82
KMT2E	19598	16447	13526	34708	17931	26242	26520	19250	31499	20163
RHBDD2	4114	3861	3616	3380	5098	5899	4799	4836	4189	4898
SOX8	31	5	1	10	36	6	28	11	12	44
IBTK	4454	4636	5427	4700	3562	5974	5868	6767	5410	3679
ZNF195	724	1131	794	1033	971	674	829	1084	1193	805
MYCBP2	3433	3973	2826	5126	3910	4419	5717	4299	5128	5003
FBXL3	1559	1815	1513	2157	2046	1843	2172	1740	2047	1771
ITGAL	374	438	232	259	532	366	370	423	428	350
PDK2	553	553	397	196	738	600	494	487	301	301
ITGA3	3570	4350	4358	2806	3840	4990	3491	5822	3078	2754
ZFX	2520	4198	1724	3438	2905	2865	3708	2606	3739	2977
LAMP2	8997	6429	6023	6031	6468	9406	6826	7200	7899	4862
ITGA2B	55	59	23	44	80	77	67	25	35	29
ASB4	15	29	29	40	32	96	24	86	41	22
GDE1	1971	2079	2421	1415	2086	3086	1726	2822	1545	1584
REX1BD	0	0	0	0	0	0	0	0	0	0
CRLF1	27	23	20	15	76	64	74	24	17	60
OSBPL7	179	280	123	80	440	175	233	151	110	152
TMEM98	1840	2312	2173	831	3598	2126	1588	2338	1154	1598
YBX2	109	175	98	117	178	151	163	150	138	118
KRT33A	0	0	0	0	0	4	4	0	0	3
MAP3K14	1155	896	750	782	1305	1083	1029	1170	1071	1073
ABCC8	14	22	15	19	44	73	67	37	21	53
CACNG3	6	15	9	11	11	28	15	9	16	4
TMEM132A	164	451	178	1642	641	349	299	557	1755	794
AP2B1	5143	4484	3324	5060	4789	5121	5051	4593	5320	4065
TAC1	0	0	10	4	9	4	2	7	16	13
ZNF263	800	1176	687	1426	1268	1357	1415	1330	1867	2009
CX3CL1	684	591	213	11716	960	1201	1671	750	11479	13112
SPATA20	1109	1323	904	620	1526	1375	1322	1060	737	469
CACNA1G	106	67	70	295	209	119	91	69	382	156
TNFRSF12A	5897	8925	5912	19097	11011	6876	5248	8047	20024	12175
DLX6	0	0	0	0	0	0	0	0	0	0
MAP3K9	708	695	707	840	651	1185	714	1142	823	591
RALA	8574	9032	6331	11392	7970	11459	9399	10487	11847	8753
BAIAP2L1	701	870	912	2005	948	1603	1465	1131	1908	1147
KDM7A	3737	3694	3388	6808	3183	6503	7181	5540	6822	4605
ETV1	2441	2635	2023	762	1927	2393	1410	2155	865	674
AGK	797	837	627	672	976	794	865	1018	969	823
ALDH3B1	815	635	426	261	1240	1183	637	547	319	519
TTC22	132	155	314	104	276	240	148	461	200	264
PHTF2	1895	1556	1236	1436	2087	2381	2023	1627	1562	1288
CCL26	74	127	212	177	145	112	132	208	172	39
FARP2	1335	1330	877	1669	2042	1640	1603	1176	2311	2354
USH1C	3	5	8	3	57	27	28	2	0	20
GGCT	361	568	412	220	458	404	504	420	268	351
DBF4	476	607	428	547	547	652	563	646	648	306
TBXA2R	314	304	110	145	674	284	188	203	185	120
IFRD1	8389	4384	5106	17300	7201	12444	8490	7608	16854	7384
LGALS14	0	0	0	0	0	2	2	2	5	32
COX10	1271	1154	1099	992	1192	1122	1166	1200	1218	913
GTF2IRD1	1387	1142	1029	1613	1344	2304	2085	1319	2001	1392
PAF1	1567	1789	1327	2764	2170	2285	1622	1689	2917	2009
VPS41	3267	3039	2533	2100	2949	3953	3454	3219	2076	1801
ARHGAP44	2179	1844	2568	1746	1679	2661	2507	3411	1896	1455
ELAC2	1985	2437	1652	1242	2726	1625	1541	2257	1653	1960
SCIN	857	575	658	379	693	865	503	867	550	1422
ARSD	332	684	403	256	508	400	565	564	302	383
PNPLA4	412	582	367	120	447	294	435	331	148	158
MYH13	11	5	7	6	10	23	18	4	14	14
ADIPOR2	4847	4552	3041	4041	4207	5065	5553	4409	4643	3047
CDKL3	0	0	0	0	0	0	0	0	0	0
UPP2	265	339	332	197	367	331	311	315	153	205
PRSS21	104	3	41	2	92	146	5	53	11	51
MARK4	538	611	357	560	711	741	733	631	745	657
PROM1	303	360	188	81	362	552	338	87	66	249
CCDC124	4130	5217	4286	4694	4896	5327	4123	5508	5133	4135
CEACAM21	204	215	197	161	344	191	248	261	208	199
PAFAH1B1	7797	7049	5757	10516	8345	9407	8202	8185	11380	6792
NOS2	583	417	77	1859	875	1060	575	410	2956	3794
DNAH9	744	863	523	101	568	1207	768	303	125	473
KIAA0100	269	394	168	310	349	316	366	395	357	321
SLC13A2	0	0	0	0	0	0	0	0	0	0
GAS7	1407	1747	997	1215	3633	1501	1949	1162	1360	2574
TRAPPC6A	0	0	0	0	0	0	0	0	0	0
MATK	108	132	86	145	144	130	130	209	140	92
CEACAM7	0	0	0	0	0	0	0	0	0	0
CD79B	92	180	77	64	241	69	150	68	42	99
SCN4A	41	12	9	11	54	24	28	18	16	13
ST7L	1391	1282	1028	931	1433	1191	1362	1244	1185	1036
TKTL1	20	8	7	34	28	34	32	6	37	20
PAX6	46	75	40	48	57	42	51	66	57	40
RPUSD1	281	549	373	296	595	366	258	569	339	421
RHBDF1	320	477	266	1191	776	614	491	408	1272	649
LUC7L	2437	2682	1788	4657	3794	2706	3108	2682	4492	2980
CACNA2D2	181	138	141	108	126	245	144	168	117	75
BAIAP3	149	230	76	65	184	162	130	56	51	75
TSR3	74	164	79	46	78	97	131	104	55	58
PIGQ	839	1331	859	660	1516	983	860	1411	1053	1076
CRAMP1	10	44	23	51	36	42	47	27	32	23
TEAD3	535	658	522	1386	856	766	785	584	1382	856
SELE	0	0	0	0	0	0	0	0	0	0
DNAJC11	964	897	739	812	1269	847	667	964	868	1016
FMO3	307	294	271	141	358	445	199	277	162	120
MYLIP	540	931	597	1280	1095	1144	1050	1032	1060	885
NOX1	17	30	19	16	32	41	34	28	20	20
E2F2	52	55	49	9	68	52	34	95	6	40
PSMB1	6881	7688	5913	7560	7717	8575	7542	7704	8662	7416
SYN1	23	19	24	90	32	29	22	34	114	67
JARID2	4256	3863	2447	5359	4730	3950	4429	4098	5787	3594
CDKL5	798	789	656	1032	969	1083	1118	1045	1210	962
CAMK1G	401	274	105	700	767	291	170	257	724	628
CDK11A	0	0	0	0	0	0	0	0	0	0
NADK	724	1065	745	1261	1095	1130	1086	1313	1441	1746
TFAP2B	1	7	14	6	0	8	10	15	2	2
TFAP2D	4	1	2	3	6	10	7	7	6	7
DLEC1	118	143	92	39	102	122	157	91	37	86
CYTH3	1128	1376	749	1983	2099	1429	1709	1277	1891	1292
ADAM22	340	520	273	291	516	508	462	455	327	306
SYPL1	5196	5165	3663	6143	5709	5995	5103	5193	7049	4780
CYB561	3243	3653	2967	1482	3843	3756	2607	3571	1819	2783
SPAG9	5476	4497	4513	14112	4941	8940	9172	6695	12377	5632
CELSR3	60	42	23	120	86	106	86	94	134	45
AASS	1818	1245	1353	2182	1792	1680	1432	1773	2249	1821
PLEKHG6	258	304	215	277	403	366	292	234	445	306
SS18L2	0	0	0	0	0	0	0	0	0	0
MPND	47	81	51	62	55	52	64	80	52	52
MGST1	10666	13784	14275	7930	10979	13416	11045	17481	8697	8011
CRY1	3596	2360	1820	6600	3559	4052	3745	2561	6408	3257
PGLYRP1	7	0	2	5	1	3	6	4	2	4
NFIX	2309	2264	1617	2789	2767	2881	2758	2096	2607	2984
ST3GAL1	5091	5008	3716	14428	8169	5380	6194	6824	15496	11298
MMP25	27	39	16	28	38	31	73	21	67	100
IL32	15662	20734	11341	34481	18782	25529	30166	24596	45145	63602
PKD1	953	1155	593	1042	1600	1542	1600	892	1159	967
MAPK8IP2	7	11	4	14	10	16	2	35	9	14
MED24	1441	1165	960	13895	1754	1591	1204	2045	14695	5180
RHOBTB2	184	218	235	100	228	215	151	214	112	122
HEATR5B	2948	2476	1854	1708	2790	3395	3223	2938	1931	1728
SEC62	11939	12101	9895	13169	12770	16017	13665	12310	14924	10194
RPS20	8288	13335	10174	9098	10159	13723	13782	12270	9827	8759
CSDE1	33743	26807	22228	33779	30725	40332	30639	28128	37590	28535
UBE3C	2797	2875	2246	2788	2996	3451	3659	3338	3149	2378
REV3L	9980	9933	7530	5886	11943	13922	14954	9683	6792	8255
TENM1	289	296	222	98	502	494	293	343	155	264
PAX7	18	20	14	12	18	27	16	21	9	15
MASP2	14	17	6	8	16	12	13	23	18	24
IYD	28	5	7	16	35	57	47	16	8	25
FAM76A	1114	1246	733	523	1227	1085	967	909	795	839
TRAF3IP3	561	775	342	509	1271	418	556	619	638	697
POMT2	263	648	308	630	508	349	429	487	738	407
VTA1	4370	4120	3397	3271	4859	4699	3892	4278	3977	3500
MLXIPL	270	115	144	73	103	256	210	146	75	50
BAZ1B	2781	4099	2625	3554	3558	4097	4370	3184	3630	2946
RANBP9	1761	1661	1534	1977	1681	2631	2561	1819	2006	1290
ETV7	502	302	358	408	563	1110	1433	1168	1343	3833
SPRTN	802	854	541	661	926	806	727	700	968	722
EEF1AKNMT	1013	1250	859	826	1396	996	1005	1116	1023	948
DYRK4	91	58	48	60	122	94	88	88	51	97
ZNF207	5983	4574	3858	9645	7600	7675	6960	5600	9852	6619
