Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	854.2134638138308	-0.16086570179424528	0.2365930187020422	-0.6799258180852517	0.4965514330279913	0.9999706469618949
TNMD	8.110466817292314	0.7631641657850609	0.6679602535398353	1.1425293073063783	0.2532340711520556	0.9999706469618949
DPM1	700.3817810054013	0.19428634313423704	0.14230724221043844	1.3652597022921287	0.17217143977157867	0.9999706469618949
SCYL3	676.641685214571	0.28984754560314957	0.2268486448452817	1.2777133661117315	0.201350510641352	0.9999706469618949
C1orf112	502.75872261896995	0.0546605290039698	0.20613883874077454	0.26516366026834454	0.790883388046038	0.9999706469618949
FGR	750.9972322261151	0.270214931736387	0.1836028320991813	1.471736185367872	0.1410921320430628	0.9999706469618949
CFH	5351.492255524262	0.9623489359527359	0.43282046081479014	2.2234367897975558	0.026186361255346288	0.9999706469618949
FUCA2	653.5820019729033	-0.24923476307031472	0.1929153772694367	-1.2919382923125882	0.19637851538098686	0.9999706469618949
GCLC	1139.0286433411788	0.038497503579824406	0.400028346480373	0.09623693900330448	0.9233323938712755	0.9999706469618949
NFYA	395.3167094124427	-0.20665105456129126	0.28744497324408574	-0.7189238769043013	0.47218782388285285	0.9999706469618949
STPG1	308.32718189209254	-0.046790192069933983	0.16944685550780053	-0.2761349092593812	0.7824444489204642	0.9999706469618949
NIPAL3	2915.8477419307756	0.025813848322474905	0.24861846901354773	0.10382916613113025	0.9173049203297724	0.9999706469618949
LAS1L	1947.2590899078477	-0.209615527089904	0.09786506080768323	-2.141883174239518	0.03220288415337292	0.9999706469618949
ENPP4	2008.4953650755974	0.12613737498209063	0.2621283452258221	0.4812046361236667	0.6303710661844311	0.9999706469618949
SEMA3F	201.94408209685054	0.062097797422226694	0.3583344978979006	0.17329561565105034	0.8624190697594913	0.9999706469618949
CFTR	583.8022284274663	-0.23083764951135302	0.4422993623542821	-0.5219036452656062	0.6017374201368011	0.9999706469618949
ANKIB1	5245.297016191155	0.2337931149716182	0.13783189861025943	1.6962192157905598	0.08984437267865075	0.9999706469618949
KRIT1	2253.3654883114014	-0.039295758932694734	0.11049634928952595	-0.355629477221286	0.7221180653387654	0.9999706469618949
RAD52	917.4006996991759	0.008495648686202704	0.22094634983804823	0.03845118370332862	0.9693279524353267	0.9999706469618949
MYH16	151.9988737585847	-6.306495945052157e-05	0.6241089400339258	-0.00010104799884310813	0.9999193753619603	0.9999706469618949
BAD	547.0578114361487	-0.13961436128277896	0.17954941149637074	-0.777581837329503	0.43681557184264175	0.9999706469618949
LAP3	3722.976433639841	2.040637673874086	0.48776392339275343	4.183658479044461	2.868549526834726e-05	0.020210441179459505
CD99	9938.27060002073	-0.07721471877394803	0.1916978294305608	-0.4027939127079043	0.6870998396552765	0.9999706469618949
HS3ST1	716.1038312487844	-0.11183699773268974	0.5180867893412673	-0.21586537243091514	0.829092689521455	0.9999706469618949
AOC1	29.143870835952505	-0.5275692052336255	0.5252038858837705	-1.0045036211906064	0.3151359266777805	0.9999706469618949
WNT16	32.062728683842124	0.2025251091353001	0.4761360694507921	0.42535132733990605	0.6705805819472387	0.9999706469618949
HECW1	108.42485847192765	0.5156957469702319	0.461477017901074	1.1174895541185557	0.2637850634678827	0.9999706469618949
MAD1L1	1743.1306267656448	-0.13389187258033525	0.10186261420611588	-1.3144358568042358	0.18869957047211636	0.9999706469618949
LASP1	839.0548791019131	-0.12535612080554864	0.20383176559423374	-0.6149979638359905	0.5385560651169458	0.9999706469618949
SNX11	1242.6657016580461	-0.043368456971063285	0.26488239568339267	-0.16372721508793858	0.8699458921057317	0.9999706469618949
TMEM176A	689.6059965738904	-0.11880217084230563	0.5346163120838648	-0.2222195023927164	0.8241430129256404	0.9999706469618949
M6PR	4369.197715786137	-0.02326257700668491	0.11345128640347159	-0.20504462967440693	0.8375372562910351	0.9999706469618949
KLHL13	257.34344763061733	-0.0807919688086208	0.43198003004542085	-0.18702709197026046	0.8516393913989139	0.9999706469618949
CYP26B1	141.69971453173085	-0.23717004571485856	0.5255677051501474	-0.4512644962595302	0.6517989301877264	0.9999706469618949
ICA1	2823.7224832414995	-0.10222611660598044	0.19096641293205624	-0.5353094035564849	0.5924359249440175	0.9999706469618949
DBNDD1	202.04609421461507	-0.14737294063243025	0.36133029968217467	-0.40786211608065853	0.683374907107305	0.9999706469618949
ALS2	1426.291891455408	0.03266734125815155	0.20834223923056785	0.15679653525274492	0.8754052035446793	0.9999706469618949
CASP10	1583.9940128894646	0.6355833301815129	0.3349861375188032	1.8973421852294914	0.057782790734109676	0.9999706469618949
CFLAR	7596.906112563052	0.36560573240842126	0.4401714997572421	0.830598374974426	0.40620055306765485	0.9999706469618949
TFPI	27.18106039508003	0.6640787321786703	0.40148296366013114	1.6540645364490119	0.09811440071116441	0.9999706469618949
NDUFAF7	823.5279652553115	0.053619627172454755	0.10625791974911337	0.5046177009587294	0.6138273748792057	0.9999706469618949
RBM5	3209.269122503224	0.008538470809868953	0.182567404735303	0.046768867762832754	0.9626974417966755	0.9999706469618949
MTMR7	309.3124628850824	-0.003972529273316942	0.2274006619658289	-0.01746929511539367	0.9860622280558038	0.9999706469618949
SLC7A2	2390.432529948378	0.3305704240737071	0.4900477589109735	0.6745677703094272	0.4999504153762879	0.9999706469618949
SARM1	236.17729970258728	-0.3498171773517592	0.2860703674560709	-1.2228361170804498	0.22139160102773026	0.9999706469618949
POLDIP2	3702.6536119636635	-0.19811073970314344	0.15080015519907664	-1.3137303435902332	0.18893696583912054	0.9999706469618949
PLXND1	3874.9776844077	-0.28807344851601807	0.3296327906833362	-0.8739223058447412	0.3821605663166501	0.9999706469618949
AK2	516.500419709866	0.1805689736191848	0.18794083601079675	0.9607756220091069	0.336664998489013	0.9999706469618949
CD38	1267.1418051272562	2.5808774728795405	0.5149627535838939	5.011775035996042	5.393023126820816e-07	0.0009625827211624914
FKBP4	150.0648241272713	-0.2210310336080772	0.20634507643123606	-1.0711718323055563	0.2840921743723943	0.9999706469618949
KDM1A	5.924164081265205	-0.23887122122563395	0.6052309894075056	-0.39467777659481434	0.6930807057833974	0.9999706469618949
RBM6	13353.91715125024	0.05769385177602409	0.1268715907302908	0.45474208563107094	0.6492947996076222	0.9999706469618949
CAMKK1	403.9981158986426	-0.19190042241723362	0.408112369327828	-0.47021466840933723	0.6382016553184142	0.9999706469618949
RECQL	2320.8882003327826	-0.014607330654001738	0.21178157359236913	-0.0689735674649273	0.9450106594864159	0.9999706469618949
VPS50	909.9264170619921	-0.14654630272098657	0.2810641853383842	-0.5213979950684707	0.6020895478638534	0.9999706469618949
HSPB6	1035.3192800619568	-0.8017854656982608	0.5679785236811531	-1.4116475047362183	0.15805377745058524	0.9999706469618949
ARHGAP33	29.077579514447542	0.11341037431790357	0.5182691005666247	0.21882526701652052	0.8267861636048507	0.9999706469618949
NDUFAB1	3110.2291265763183	-0.12699429066776569	0.20435877431149863	-0.6214281285235723	0.5343179693870256	0.9999706469618949
PDK4	2532.993547893768	0.05508228680284106	0.25704743667298374	0.2142884111811504	0.8303221546861814	0.9999706469618949
SLC22A16	36.48929353013968	0.2961631022897702	0.25913292225560186	1.1429003297297855	0.25307997564712026	0.9999706469618949
ZMYND10	5.301897214144267	-0.5844932682174742	0.6797013020957255	-0.8599266566288808	0.38982947332143636	0.9999706469618949
ABCB5	52.96260398482276	0.3615221309533979	0.3808593571918511	0.949227383092199	0.34250497733271745	0.9999706469618949
ARX	28.141434926193746	-0.2582617928163146	0.8782345668556191	-0.2940692641386007	0.7687049766812383	0.9999706469618949
SLC25A13	2695.4563929238875	-0.08786407496214592	0.23794703724868546	-0.36925895769955136	0.7119347141780227	0.9999706469618949
ST7,ST7	1088.8547043710855	-0.14107496729793692	0.28164171923509246	-0.5009022373570251	0.6164399278330155	0.9999706469618949
CDC27	5867.468048667571	0.07278578804973274	0.21704032066297232	0.33535606576419047	0.7373565053824698	0.9999706469618949
SLC4A1	5.633376625671308	-0.07381592760921668	0.5806284171113294	-0.12713109698704816	0.8988366393083793	0.9999706469618949
CALCR	109.82491135514104	-0.38697006575277054	0.4497429021328011	-0.8604250648929755	0.38955477405092065	0.9999706469618949
HCCS	1459.1171548586399	0.05411329372482698	0.2886707812030368	0.18745677515164363	0.8513025113197868	0.9999706469618949
DVL2	1516.0837873900236	-0.2248402429707924	0.17264766861093941	-1.302306858701166	0.19281150797230193	0.9999706469618949
PRSS22	704.8197817743211	0.33053649979039007	0.4770548426280306	0.6928689749159849	0.48839178135231376	0.9999706469618949
UPF1	401.4370508503524	0.01232897493683401	0.17628191093571255	0.06993896805061416	0.9442422370325534	0.9999706469618949
SKAP2	4706.175088212391	-0.09876404947932779	0.23534766148543315	-0.41965171379211175	0.674739904203699	0.9999706469618949
SLC25A5	9957.643478249669	-0.10816927607214621	0.15548061225272186	-0.6957090952042645	0.4866110284610929	0.9999706469618949
MCUB	2515.9162980324118	0.5724210930608744	0.32829129428634773	1.743637748010423	0.08122227671237874	0.9999706469618949
POLR2J	2113.3301446818414	-0.18375770013978357	0.1459489875281342	-1.2590542987107813	0.20801072001271126	0.9999706469618949
DHX33	220.62219064711903	-0.2941576107488383	0.18195934881339476	-1.6166116919362383	0.10596212651599289	0.9999706469618949
MEOX1	45.207421674360546	-0.12135126522068979	0.5019440248138481	-0.2417625456657131	0.808964162298702	0.9999706469618949
THSD7A	747.7165383051956	-0.5132687006988945	0.5445618063858214	-0.9425352543642113	0.3459186704653071	0.9999706469618949
LIG3	719.549927121945	-0.052526263128574266	0.2121120720707558	-0.24763448216682685	0.8044172286028511	0.9999706469618949
