Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
0610005C13Rik	0	0	0	0	0	0	0
0610006L08Rik	0	0	1	0	1	0	0
0610007P14Rik	190	225	216	136	337	313	236
0610009B22Rik	90	99	83	95	161	163	135
0610009E02Rik	0	3	3	5	3	5	6
0610009L18Rik	3	23	8	11	24	21	8
0610009O20Rik	211	187	216	187	371	384	299
0610010B08Rik	0	0	0	1	0	1	1
0610010F05Rik	407	339	392	379	679	750	657
0610010K14Rik	353	668	399	367	605	513	331
0610011F06Rik	67	93	55	64	118	80	83
0610012G03Rik	262	437	272	333	589	499	401
0610025J13Rik	0	2	0	2	2	0	0
0610030E20Rik	577	482	614	384	819	1120	893
0610031O16Rik	0	0	0	0	0	0	0
0610037L13Rik	424	711	422	399	784	716	565
0610038B21Rik	0	0	0	0	1	0	0
0610039H22Rik	0	1	3	6	1	1	0
0610039K10Rik	4	5	5	7	7	8	2
0610040B10Rik	0	1	0	4	4	4	5
0610040F04Rik	39	8	31	22	39	31	24
0610040J01Rik	1	2	0	3	10	7	5
0610043K17Rik	2	1	0	5	1	5	3
1010001N08Rik	0	0	0	0	0	0	0
1100001I12Rik	0	0	0	0	0	0	0
1110001J03Rik	102	220	113	80	183	121	104
1110002J07Rik	8	10	16	12	20	12	13
1110002L01Rik	28	10	23	51	51	65	55
1110002O04Rik	0	0	0	0	0	0	0
1110004E09Rik	114	129	110	135	210	217	178
1110004F10Rik	721	792	687	722	1356	1363	1087
1110006O24Rik	1	1	8	2	4	2	4
1110008F13Rik	1410	2103	1496	1570	3353	3055	2470
1110008L16Rik	119	100	110	80	188	216	156
1110008P14Rik	347	446	329	345	581	608	437
1110012L19Rik	95	201	118	101	220	185	186
1110015O18Rik	0	0	0	0	0	0	0
1110017D15Rik	5	11	11	6	26	16	33
1110018N20Rik	3	1	0	0	3	3	1
1110019D14Rik	8	21	11	10	32	37	21
1110020A21Rik	2	0	1	1	0	3	2
1110025L11Rik	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	1	1
1110028F18Rik	0	0	0	0	0	0	1
1110032A03Rik	129	136	114	127	185	240	156
1110032F04Rik	17	13	14	17	24	18	10
1110034G24Rik	146	207	166	152	273	236	183
1110036E04Rik	0	0	0	0	0	0	0
1110037F02Rik	1405	924	1432	1133	1953	2550	1995
1110038B12Rik	174	373	185	179	343	237	238
1110038F14Rik	196	319	197	254	443	385	302
1110046J04Rik	4	19	13	25	43	32	23
1110051M20Rik	354	351	328	312	582	565	466
1110057P08Rik	0	0	0	0	0	0	0
1110058D11Rik	0	0	0	0	1	0	0
1110059E24Rik	237	341	241	244	455	418	327
1110059G10Rik	181	224	187	182	395	351	247
1110065P20Rik	83	110	70	62	155	131	104
1190002N15Rik	178	90	166	127	196	194	189
1190003K10Rik	0	3	0	0	0	0	0
1190005I06Rik	0	6	2	4	3	8	0
1190007I07Rik	37	37	40	33	54	53	42
1190028D05Rik	0	0	0	0	0	0	0
1300002E11Rik	77	126	101	81	169	198	135
1300017J02Rik	0	0	0	0	1	1	1
1500002F19Rik	7	2	3	3	5	4	3
1500004A13Rik	0	0	0	2	3	4	2
1500009C09Rik	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	1
1500011B03Rik	34	21	25	16	62	41	43
1500011K16Rik	127	320	121	150	313	222	202
1500012K07Rik	0	2	2	2	0	1	0
1500015A07Rik	17	26	23	15	38	45	29
1500015L24Rik	0	0	0	0	0	0	0
1500015O10Rik	0	0	0	0	0	0	0
1500017E21Rik	0	0	0	0	0	0	0
1500026H17Rik	0	1	0	0	5	2	3
1500035N22Rik	0	0	0	0	0	0	0
1520401A03Rik	2	0	1	0	4	2	1
1600002D24Rik	0	0	0	0	0	0	0
1600002H07Rik	53	63	68	55	135	100	98
1600002K03Rik	91	185	81	104	183	115	97
1600010M07Rik	24	71	26	20	56	45	45
1600012H06Rik	615	507	586	506	936	1076	795
1600014C10Rik	1007	999	988	941	1698	1820	1426
1600014C23Rik	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0
1600020E01Rik	65	130	99	75	126	133	123
1600023N17Rik	0	0	0	2	1	0	3
1600025M17Rik	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0
1600029I14Rik	0	0	0	0	0	0	3
1600029O15Rik	0	0	0	0	0	0	0
1700001C02Rik	0	2	0	0	0	0	0
1700001C19Rik	0	0	0	0	2	0	1
1700001D01Rik	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	1	1	0	1
1700001G11Rik	0	0	2	2	4	1	5
1700001G17Rik	1	0	0	0	0	0	0
1700001J03Rik	4	11	2	8	7	3	7
