Gene	NLF_SiC_Un_1_S1_R1_001	NLF_SiC_Un_2_S9_R1_001	NLF_SiC_Un_3_S17_R1_001	NLF_SiH_Un_1_S3_R1_001	NLF_SiH_Un_2_S11_R1_001	NLF_SiH_Un_3_S19_R1_001
ATAD3B	109	267	135	339	449	587
MTND1P23	2	3	7	3	3	3
RPL7P7	0	0	0	3	0	1
MTCO3P12	10	11	22	10	6	7
DDX11L17	1	3	5	5	0	0
LOC100996583	2	2	2	2	0	0
PRDM16	3	10	6	2	7	3
MTND2P28	1398	1457	1944	915	645	1141
PEX10	134	221	199	113	90	152
LOC100129534	1	8	0	11	5	3
MTCO1P12	678	549	510	416	424	293
RPL23AP21	2	5	1	8	3	9
SKI	1576	1546	1037	2197	789	1011
RPL27P3	0	0	0	0	0	0
PEX14	181	306	282	158	195	209
MTATP8P1	0	1	1	2	1	0
MTCO2P12	4	6	9	8	5	9
PLCH2	12	57	48	5	2	1
SPSB1	549	891	531	470	625	359
LOC101928626	1	7	9	7	3	2
SLC2A5	33	14	28	38	17	13
ENO1	9094	11284	12462	11418	12673	13263
PLEKHM2	1073	1424	1173	3060	1959	2984
CA6	0	0	0	0	0	0
RPL22P3	10	2	6	9	4	1
NMNAT1	140	233	145	174	101	151
MTATP6P1	4907	4803	6020	3054	2313	3494
MFFP1	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0
CHD5	1	11	5	4	7	2
DISP3	0	1	3	3	0	0
MMEL1	0	0	0	1	1	0
TMEM51	615	147	376	428	131	340
WASH9P	3	24	9	9	20	6
TTLL10	0	0	0	0	0	0
FBXO42	511	780	387	474	352	404
ALDH4A1	133	168	198	101	82	168
RERE	3175	4010	1649	2136	848	649
CLCN6	483	609	403	546	392	442
CELA2B	1	0	0	1	0	0
RER1	1765	2921	2095	2088	2218	2718
PANK4	201	314	287	308	264	283
ERRFI1-DT	1	1	0	0	0	1
VPS13D	1312	1956	854	1399	806	677
HTR6	4	3	2	1	0	0
RBP7	0	0	1	2	0	0
GPR157	160	172	226	137	99	210
ZBTB40	541	859	446	541	346	384
ENO1-AS1	1	3	1	2	1	1
NPHP4	76	163	98	103	72	57
LINC01714	3	0	0	0	0	0
RUNX3-AS1	0	0	0	0	0	0
HES5	0	0	2	0	0	0
MT1XP1	0	1	0	0	1	0
CLIC4	26213	22533	11533	13870	7492	7587
DYNLL1P3	0	0	0	0	0	0
SZRD1	1721	2253	1894	3295	3140	3216
PDIK1L	107	97	68	98	48	66
NECAP2	1050	1769	1263	941	1199	1291
MICOS10-DT	0	0	0	0	0	0
PPIAP34	0	0	2	0	0	1
LAPTM5	14	0	31	4	1	2
SLC30A2	0	0	0	0	0	0
PHACTR4	845	1136	670	548	617	400
CNKSR1	2	4	3	2	3	1
FAM110D	0	0	0	0	0	0
ICMT	872	1003	600	545	325	352
MED18	136	302	235	245	243	265
EEF1A1P46	0	0	0	0	0	3
MMEL1-AS1	0	0	1	0	0	0
SLC9A1	767	917	766	798	830	848
LDLRAP1	638	1129	689	513	650	509
RNF207-AS1	0	1	1	0	1	4
ATP5IF1	195	560	500	318	438	710
SDC3	6200	4928	4815	5267	2620	2913
PAFAH2	199	289	195	230	211	240
DNAJC8	1749	2476	2262	987	1041	1654
SESN2	763	876	718	1252	1904	1725
SERINC2	1251	5372	3879	361	963	1272
AJAP1	2	0	73	3	1	42
PTAFR	2	1	2	5	2	0
NKAIN1	0	7	0	2	4	0
SNRNP40	456	547	438	476	458	529
SLC25A33	93	75	120	81	46	172
GJB3	0	0	0	0	2	0
LINC01756	0	0	0	0	0	0
DNAJC16	597	942	472	752	575	531
EYA3	422	506	291	447	330	343
RPL7P11	1	1	2	0	0	1
FABP3	127	2096	356	13	162	45
EPHA2	1048	1361	1298	590	579	869
ARHGEF19	58	77	107	62	22	73
KAZN-AS1	0	0	0	0	0	0
GPR153	353	577	230	295	198	138
KAZN	503	475	303	1727	541	581
RERE-AS1	0	6	1	0	2	0
CHCHD2P6	1	4	5	4	4	7
ICMT-DT	0	0	0	1	0	0
TNFRSF1B	676	433	470	761	255	337
HMGN2P17	0	0	0	0	0	0
TMEM51-AS2	0	1	1	0	0	0
LINC01226	0	0	1	0	0	0
UBE4B	1511	1899	913	1356	684	847
TMEM51-AS1	21	4	7	38	7	7
PLA2G5	31	1	67	1	1	2
PTPRU	198	253	380	360	223	307
ZMYM6	195	281	119	276	198	163
GJB5	1	1	0	1	0	0
AGO4	745	1138	357	481	258	195
CDCA8	12	9	10	9	3	3
CPLANE2	10	41	24	37	28	25
ZBTB8B	0	0	0	0	0	1
RPL22	2831	2561	1443	2577	1160	1486
RNF207	89	212	46	55	38	26
FTH1P1	1	0	1	0	3	3
PAX7	0	0	0	0	0	0
EXTL1	40	51	120	9	0	1
CASZ1	5	16	10	2	6	1
AGMAT	4	6	2	7	5	12
FAAP20	415	550	571	394	309	414
DNALI1	120	117	102	94	34	41
RRAGC	800	1368	671	725	562	592
SPCS2P4	143	163	140	139	125	195
GRIK3	0	0	0	0	0	1
YRDC	150	155	327	387	548	873
RCC2	947	1064	653	1672	1260	1055
HSPA5P1	1	5	1	6	8	4
PSMB2	1490	2031	1778	1178	1336	1726
CASP9	112	213	122	139	93	97
DDI2	386	415	206	1392	604	619
UQCRH	1289	1228	2432	1305	1022	2332
MIR3659HG	10	20	9	3	6	4
GPR199P	1	4	1	2	0	1
THRAP3	2547	3546	1923	2750	2241	2081
PADI4	0	0	0	0	0	0
C1orf122	127	253	336	361	627	751
EPHA10	0	1	2	0	0	0
FHL3	248	237	154	272	134	104
RHBDL2	9	32	9	3	24	7
INPP5B	394	378	193	285	175	119
CFAP144	0	0	0	3	2	0
ZMYM4	2178	2291	1015	2533	1551	1137
UTP11	598	660	609	677	727	641
ACTN4P2	0	0	0	0	0	0
C1orf216	408	518	410	292	275	262
SHMT1P1	0	0	0	0	0	0
ACTL8	1	0	0	2	0	0
PHB1P12	1	0	2	0	0	0
RLF	1022	1020	517	700	510	400
CLSPN	24	34	11	42	45	9
GNL2	894	823	779	1047	1167	1224
GJA4	0	0	0	0	0	0
FCF1P6	4	3	2	3	3	8
MORN1	25	40	19	72	29	44
TUBBP10	0	2	0	0	0	0
PRKCZ-AS1	21	31	24	14	6	10
TTC22	0	0	0	0	0	0
RPL6P1	2	1	0	3	1	3
TIE1	4	1	0	6	0	0
MYCBP	224	208	194	102	124	189
MICOS10	105	164	107	80	69	80
DLGAP3	0	0	1	0	4	0
TMA16P2	0	0	0	0	0	0
RIMS3	13	11	4	0	0	0
ECHDC2	301	1398	375	365	125	87
RAB3B	6002	8938	7715	2022	2363	3796
SMIM12	253	426	377	218	306	396
LOC105378736	0	0	0	0	0	0
TMEM61	0	1	0	0	0	0
LINC01343	0	0	0	0	0	0
ERI3	552	642	525	410	439	436
CZIB	576	845	572	367	336	434
FAM151A	0	6	1	0	1	0
PODN	1933	2061	1103	1295	293	399
OSBPL9	1136	1505	920	1420	951	828
PHB1P3	0	0	0	0	0	0
C1orf210	0	0	0	0	0	0
PARS2	51	70	34	57	46	58
ZYG11A	11	3	0	11	0	6
CALR4P	1	0	0	0	0	0
ZYG11B	1811	2003	1129	1386	726	916
LINC01755	0	1	0	3	2	0
CZIB-DT	0	1	0	0	0	0
ST3GAL3-AS1	0	0	0	0	0	0
L1TD1	5	0	0	10	0	0
TXNDC12	47	43	48	118	155	236
TXNDC12-AS1	0	0	0	0	0	0
SF3A3	971	1257	791	1126	1486	1287
HSD52	5	6	2	11	12	16
DOCK7-DT	2	11	13	5	13	6
PCSK9	0	1	0	6	0	1
TTC4	32	22	25	20	28	22
KLF17	5	8	5	2	5	0
PLPP3	4898	14108	1598	9073	5083	2241
RSPO1	1	3	1	3	1	0
SNIP1	397	531	346	326	308	367
RPS13P2	206	160	243	341	207	354
RPL23AP85	0	0	0	0	0	0
CPT2	138	291	159	241	231	158
FOXJ3	858	979	575	1010	647	618
TUT4	1254	1390	628	1130	633	529
GAPDHP51	0	0	0	0	0	0
PATJ-DT	0	2	0	2	0	0
MAGOH	310	389	326	206	175	290
DEPDC1-AS1	0	0	0	0	0	2
LINC01707	2	0	2	1	1	1
DLEU2L	4	11	5	2	5	4
CDKN2C	92	125	31	224	250	129
CAPZB	5451	6042	5247	5247	4681	4355
ELOCP18	0	0	0	0	0	1
C1orf87	0	1	0	0	0	0
ZSWIM5	9	46	14	43	81	35
OMA1	129	226	105	259	236	249
SLC35D1	746	754	574	308	195	249
LRP8	104	304	240	61	143	192
TCEANC2	167	248	119	110	94	80
KTI12	72	78	82	48	48	71
LRRC42	449	756	441	374	276	354
GDI2P2	3	1	2	3	5	9
KANK4	1	3	3	8	1	0
DNAJB4	2753	2201	3973	1614	2279	2609
USP1	878	877	383	579	304	366
ERI3-IT1	0	2	4	1	0	0
AK5	661	1056	1101	618	777	1045
ADH5P2	1	1	0	0	1	0
SPATA6	381	355	140	245	103	99
GIPC2	9	11	22	6	4	8
RPE65	0	3	0	0	6	7
ANGPTL3	1	1	2	0	0	2
DNAJC6	42	22	28	86	28	55
AK4	284	636	244	606	407	117
LEPROT	2603	2913	2000	2789	1593	1909
RPL31P12	0	1	0	1	0	0
LINC02796	0	0	0	1	0	0
CACHD1	474	224	170	895	104	206
EFCAB7	163	190	62	85	69	61
LINC02238	0	0	0	1	0	0
MCOLN2	71	149	38	126	96	52
ST6GALNAC5	222	31	126	73	3	38
ATG4C	195	230	137	178	92	115
TXN2P1	0	0	0	0	0	0
ADGRL4	207	562	311	167	172	229
GJA9	0	3	0	0	0	0
PPP1R8P1	3	1	0	1	0	0
MTF1	338	442	278	821	632	668
TTLL7	629	637	386	562	646	609
KDM4A	457	526	255	272	209	169
TTLL7-IT1	0	3	0	0	0	1
LINC02777	8	13	20	25	13	15
LDC1P	0	0	0	0	0	0
ZNHIT6	871	1286	892	679	588	642
MGC27382	0	0	0	2	1	0
MROH7	0	2	0	0	0	2
LINC01763	0	1	0	0	0	0
PTGFR	332	1084	288	368	521	188
LINC02801	0	0	0	0	0	1
LMO4	1876	1380	1126	2211	1302	1137
RPL17P6	1385	1137	1442	2276	968	2208
PRPF38A	768	637	381	524	443	517
PIGK	906	908	498	758	645	534
HNRNPA3P12	14	13	6	8	12	6
ST6GALNAC3	32	15	2	164	34	157
PGBD4P8	0	0	0	0	0	0
RPL7P10	1	1	1	1	0	2
PKN2-AS1	2	3	2	3	7	7
GUCA2A	0	0	0	0	0	0
USP24	1949	3011	1507	1829	1357	1079
PSAT1P3	0	0	0	1	0	0
DOCK7	2119	3167	1412	1830	2052	1370
NEXN-AS1	26	21	16	15	21	19
NEGR1	632	891	706	1148	601	705
FAAH	16	2	7	21	6	7
KYAT3	514	398	239	624	349	415
LOC100421400	0	0	0	0	0	0
SHISAL2A	0	0	0	1	0	0
DNTTIP2	1229	1598	1073	956	960	1358
RPS2P13	1	0	0	0	0	0
PTPRF	2642	2763	1690	2537	1281	1475
DHCR24	717	2345	926	533	916	997
PHKA1P1	5	13	12	5	7	4
COL24A1	99	130	47	379	270	145
BSND	0	2	0	0	0	0
GPX7	301	280	414	374	161	493
SLC44A3	30	159	19	27	36	3
NSRP1P1	8	25	11	5	9	10
PKN2	2119	1925	1058	1447	605	734
RPS2P11	1	0	6	4	2	6
GBP1P1	3	17	2	1	38	0
LINC01364	0	0	0	0	0	0
MIR4422HG	0	0	0	0	1	0
ABCD3	1208	1385	818	1105	920	925
ALG14	134	134	119	89	114	153
ZZZ3	1385	1119	725	923	671	704
YIPF1	448	721	445	356	413	460
LDLRAD1	0	0	0	0	0	0
GJB4	0	0	0	1	0	0
LOC100652967	0	1	0	0	0	0
TMEM125	0	0	0	0	0	0
DMRTA2	0	0	0	0	0	0
HIVEP3	73	43	93	115	15	59
TM2D1	526	620	519	517	361	600
SCP2	3995	4384	2815	2705	1879	2327
FAF1-AS1	0	0	0	0	0	0
BCAR3	674	1073	858	446	594	628
TBCAP2	0	0	0	1	0	0
DMAP1	266	713	331	280	237	156
AHCYL1	2870	4515	1869	3192	2744	2267
CNN3	8069	8495	6191	4098	5039	3729
LOC100129138	4	5	5	1	3	6
VAV3	1	2	0	0	0	0
HNRNPA1P6	1	1	0	0	0	0
EEF1A1P11	43	43	18	84	35	54
DPYD	1013	965	345	1789	1000	660
TLCD4	95	151	24	46	49	14
POU3F1	5	0	6	4	5	10
LRRC8D	784	1271	684	697	688	659
S1PR1	196	324	74	1402	667	142
ELAPOR1	32	125	45	35	108	97
ARHGAP29	1732	2013	976	1076	634	703
ST13P21	0	0	0	0	0	0
PGM1	1086	1757	838	1056	659	562
COA7	404	505	406	426	424	438
RNPC3-DT	1	2	0	3	1	1
DPYD-IT1	1	0	0	0	0	0
GYG1P3	7	13	8	8	9	3
OLFML3	2056	620	810	2532	435	651
TRABD2B	1	2	0	1	0	0
GCLM	1087	2651	793	755	2933	2828
TGFBR3	2159	2656	767	6116	3786	1908
RPS20P6	1	2	3	2	2	2
RPL21P23	0	2	0	3	1	0
ALG14-AS1	0	0	0	0	0	0
SZT2	416	681	279	828	518	336
PHTF1	390	461	220	466	499	552
GSTM5	13	196	18	30	318	35
GSTM2	433	1101	382	293	879	281
RRAS2P1	1	1	1	0	0	0
RPSAP19	6	3	5	4	4	8
BCAS2P2	18	31	31	15	17	14
F3	521	1022	731	870	3412	4795
WARS2-IT1	2	4	0	2	1	0
DNAJA1P5	0	0	0	0	0	0
VCAM1	1209	72	284	478	19	35
HSP90B3P	56	62	53	140	100	159
LINC01787	0	3	0	0	0	0
