Gene	GSM5073707_neg_1	GSM5073708_neg_2	GSM5073709_neg_3	GSM5073711_neg_5	GSM5073714_pos_3	GSM5073719_pos_8	GSM5073720_pos_9	GSM5073722_pos_11	GSM5073724_pos_13	GSM5073729_pos_18	GSM5073730_pos_19	GSM5073732_pos_21	GSM5073734_pos_23	GSM5073738_pos_27	GSM5073739_pos_28	GSM5073744_pos_33
TSPAN6	262	100	43	201	42	9	17	408	1638	3151	404	413	77	276	2	3893
TNMD	5	3	2	9	0	1	1	0	2	4	3	1	0	1	3	2
DPM1	44	33	4	54	27	9	20	97	363	451	54	48	11	39	6	404
SCYL3	42	35	7	56	13	11	21	208	518	603	79	117	18	44	5	691
C1orf112	26	28	8	31	17	7	11	19	210	139	10	27	6	15	2	86
FGR	30	11	3	52	40	4	15	97	29	28	15	50	10	10	1	61
CFH	149	94	26	76	36	12	17	366	3538	2975	145	375	40	275	8	1567
FUCA2	28	25	14	31	25	2	12	41	466	464	47	52	7	33	2	529
GCLC	277	295	101	278	68	19	81	767	2951	2641	696	540	97	307	5	6588
NFYA	35	20	15	36	43	3	22	97	431	481	62	47	8	42	3	427
STPG1	68	34	43	89	29	2	9	179	231	406	143	73	16	50	4	1766
NIPAL3	64	48	35	105	120	8	22	173	699	1058	148	151	16	93	7	1280
LAS1L	54	46	14	36	38	6	34	71	393	464	92	64	19	38	11	798
ENPP4	186	53	11	69	46	4	18	215	1309	2162	182	281	41	185	1	1044
SEMA3F	70	57	8	54	4	5	9	134	728	949	49	78	9	67	2	577
CFTR	97	45	25	76	9	11	7	315	1492	2288	67	119	19	169	8	457
ANKIB1	108	75	27	94	130	10	58	394	1575	1707	215	233	49	148	11	1742
CYP51A1	4	2	4	7	6	1	2	6	38	95	10	5	1	6	1	259
KRIT1	17	19	0	20	1	1	4	28	180	165	31	17	1	10	2	173
RAD52	27	23	1	33	21	4	9	44	132	199	38	38	7	21	2	246
MYH16	23	13	13	43	1	0	1	0	3	0	1	0	0	1	0	16
BAD	5	7	8	26	25	2	11	50	327	409	134	60	13	42	5	882
LAP3	192	100	84	145	133	16	77	868	1354	1003	293	272	74	126	7	10833
CD99	52	28	17	68	63	7	22	176	514	872	153	83	16	88	12	3143
HS3ST1	80	26	12	77	21	3	2	73	477	430	56	86	11	44	2	626
AOC1	25	6	0	20	9	4	5	10	6	8	6	7	5	2	8	4
WNT16	7	2	0	14	9	3	0	6	3	2	3	2	0	2	2	2
HECW1	53	31	18	111	8	2	4	18	12	18	9	16	2	9	3	8
MAD1L1	29	8	8	47	13	0	2	1	8	20	7	20	1	4	1	41
LASP1	139	94	81	242	309	15	143	715	1419	1893	514	413	58	176	13	8208
SNX11	39	24	9	39	83	6	20	108	242	229	43	47	5	19	1	645
TMEM176A	15	2	2	38	42	1	10	68	29	9	7	5	2	0	2	26
M6PR	37	24	19	26	108	8	33	252	895	987	93	108	15	73	2	1410
KLHL13	13	6	8	21	10	5	5	46	120	239	21	17	6	24	3	285
CYP26B1	23	20	7	54	6	1	7	10	11	18	7	4	5	2	5	9
ICA1	50	37	14	39	14	5	13	150	407	468	74	83	22	42	3	419
DBNDD1	15	16	6	40	38	0	8	36	38	31	21	19	2	2	5	129
ALS2	94	57	31	97	57	16	27	246	630	826	172	175	41	93	11	1158
CASP10	57	47	7	64	48	4	24	123	333	343	69	85	13	40	2	1435
CFLAR	388	295	174	488	444	47	201	1621	2876	3938	960	846	152	427	17	12106
TFPI	37	18	0	54	2	0	3	1	153	58	3	11	2	2	3	30
NDUFAF7	7	22	2	35	10	2	14	20	229	214	33	37	6	17	6	151
RBM5	91	109	53	117	202	14	77	232	2048	2548	349	368	59	230	5	2346
MTMR7	26	16	0	43	4	2	3	32	34	31	17	10	4	6	4	99
SLC7A2	222	71	48	292	67	9	15	407	889	3252	375	339	53	266	3	9931
ARF5	45	23	24	36	61	2	30	132	389	427	81	56	7	47	4	766
SARM1	22	14	19	54	19	3	16	172	245	561	105	87	7	36	6	1039
POLDIP2	43	40	22	69	77	9	34	153	573	601	106	89	13	66	5	1178
PLXND1	93	38	6	97	79	15	20	96	118	79	49	41	14	12	9	179
AK2	110	94	40	88	171	27	70	300	1307	1434	168	205	36	100	10	1830
CD38	96	54	20	77	50	4	28	394	434	1149	181	141	31	102	1	7071
FKBP4	31	26	18	82	75	9	25	129	651	848	102	97	10	71	3	1263
KDM1A	86	60	47	107	78	7	51	414	1223	1289	209	141	26	92	7	2123
RBM6	115	136	48	129	286	28	93	350	1189	1607	377	391	82	185	9	1932
CAMKK1	31	28	9	66	5	1	9	31	54	81	17	23	8	7	7	88
RECQL	27	17	7	34	130	8	59	178	577	488	70	93	11	53	5	342
VPS50	55	41	20	59	80	5	26	133	772	795	68	86	21	72	5	306
HSPB6	4	3	0	9	1	0	0	2	1	0	2	3	0	1	2	1
ARHGAP33	50	21	5	58	20	7	11	21	70	103	39	69	15	16	7	227
NDUFAB1	39	18	5	36	57	4	21	244	501	625	71	73	8	43	1	583
PDK4	26	13	14	14	6	4	20	93	321	274	44	23	3	26	3	476
SLC22A16	17	8	5	13	2	0	2	2	7	190	1	4	2	14	2	4
ZMYND10	212	60	139	318	177	24	39	830	1929	3619	1088	495	81	348	8	11583
ABCB5	21	14	0	37	2	0	4	9	7	6	11	3	4	1	12	5
ARX	13	7	0	13	5	2	2	0	11	14	7	9	2	5	4	110
SLC25A13	34	26	9	31	58	2	10	105	428	428	52	65	15	39	3	438
ST7	40	21	13	62	3	4	14	9	304	286	32	43	4	31	7	171
